airbnb_property_id,rating,bathrooms,title,occ,bedrooms,accommodates,adr,revenue,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,property_type,id,room_type,platforms__airbnb_property_id,platforms__homeaway_property_id,listings_returned,area_info__geom__|,area_info__geom__|__country,area_info__geom__|__state,area_info__geom__|__city
30466475,10,2,4 BR 2 BATH HOME NEAR HWY 1 AND PUBLIC TRANSIT,0.669291,4,16,162.878,13844.6,6,null,-122.81382,49.20277,null,House,11777430,Entire home/apt,30466475,null,,,,,
25511787,10,4.5,"$9 mill mansion w/pool, tennis,hockey in 2 acr lot",0.322034,4,10,1232.72,23421.6,5,null,-122.84302,49.05607,null,House,9660904,Entire home/apt,25511787,null,,,,,
16013524,9.6,1,Comfort and convenience in South Surrey,0.6,1,1,87.3908,524.345,19,null,-122.8188,49.06416,null,Guest suite,4711930,Entire home/apt,16013524,null,,,,,
33581655,10,1,One bedroom suite,0.909091,1,2,60.6568,1213.14,2,null,-122.83285,49.15237,null,Guest suite,12886731,Entire home/apt,33581655,null,,,,,
100772533,10,1,Modern and Spacious Suite near Semiyamoo trails ,1,1,5,74.9869,9148.4,2,922696vb,-122.8153824,49.0579595,null,Apartment,100772533,Entire home/apt,null,922696vb,,,,,
102966063,0,1,White Rock Premium King Suite in B&B,0.262295,1,2,232.012,3712.2,0,1588568vb,-122.8447441,49.03470728,null,Bed And Breakfast,102966063,Entire home/apt,null,1588568vb,,,,,
22958589,9.8,1,Casa Cortes,0.888889,2,5,106.348,14463.3,18,null,-122.7095,49.12063,null,Guest suite,8439413,Entire home/apt,22958589,null,,,,,
12254677,10,1,"Cosy 1 bdrm suite, family friendly!",0.920455,1,2,80.2684,13003.5,19,null,-122.8173,49.06459,null,Guest suite,3787961,Entire home/apt,12254677,null,,,,,
24719933,9.1,2,Furnished 2Bd/2Ba Condo-Gateway skytrain,0.877049,2,4,128.878,27580,16,null,-122.85377,49.19953,null,Condominium,9321620,Entire home/apt,24719933,null,,,,,
28601558,10,1,Cozy 1 bedroom private guest suite,0.779661,1,2,50.606,2327.88,11,null,-122.82267,49.15398,null,Guest suite,11015917,Entire home/apt,28601558,null,,,,,
31267537,9.9,2,Metro Vancouver:High-Rise Airbnb Experience,0.851485,2,4,119.386,10267.2,21,null,-122.85296,49.19199,null,Condominium,12057521,Entire home/apt,31267537,null,,,,,
12380898,9.9,1,"1 bedroom suite - private entry, private bath",0.263158,1,4,84.9196,1698.39,16,null,-122.71678,49.11274,null,Guest suite,3193508,Entire home/apt,12380898,null,,,,,
13054679,9.7,1,Clean Modern Private Suite,0.375566,2,4,159.543,13242.1,46,null,-122.81794,49.06416,7528505,Guest suite,2761008,Entire home/apt,13054679,7528505,,,,,
21141656,9.8,1,modern living with comfy king size bed,0.746412,1,4,134.18,20932,45,null,-122.68671,49.12082,null,Condominium,7420273,Entire home/apt,21141656,null,,,,,
25028899,10,1,Go Kayaking near a Chic and Tranquil Guest Suite,0.669725,1,2,158.945,34808.9,97,null,-122.88389,49.05456,null,Guest suite,9478396,Entire home/apt,25028899,null,,,,,
21015112,9.5,2,Clean accommodation,0.555556,2,5,114.547,5727.35,4,null,-122.84003,49.19661,null,Apartment,7412916,Entire home/apt,21015112,null,,,,,
9461637,9.2,1.5,New Private & Spacious 2 Bedroom Suite,0.542373,2,4,96.7877,12388.8,59,null,-122.83315,49.15191,null,Guest suite,1568231,Entire home/apt,9461637,null,,,,,
27732817,9.5,3,South Surrey Elegant House On Acre,0.514852,3,8,215.824,11222.9,4,null,-122.74735,49.05086,null,Villa,10685253,Entire home/apt,27732817,null,,,,,
33621643,10,1,Forty Winks and Nights,0.647059,2,4,62.6175,688.792,2,null,-122.75472,49.10712,null,Guest suite,12991588,Entire home/apt,33621643,null,,,,,
103059535,0,1,Beautiful one bedroom with ensuite in south surrey,0.785714,1,2,52.508,1155.18,0,7558905,-122.7476708,49.05984672,null,House,103059535,Entire home/apt,null,7558905,,,,,
